Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0303994462788918,0.0505781154463316,0.080226794873787,0,0,0,0.093991528357274,0.000114117470960472,-1.35284302533612E-06,-1.97704377134869E-13,0.000197768588984219,-1.91153633074789E-13,0.000124427257958152,0,0,0,0,0,0,package://Adel_Arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/base_link.STL,,Circular Base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00705756789603889,0.0194229347811668,1.03814223523235E-07,0,0,0,0.0897213187915253,7.72728720700263E-05,7.96790903926848E-06,2.77140502363702E-10,7.06954475493946E-05,-6.66096705105475E-11,6.69370927398784E-05,0,0,0,0,0,0,package://Adel_Arm/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/link1.STL,,Rotating Waste-2,Origin_joint1,Axis_joint1,joint1,revolute,0.02951,-0.080227,0.078152,1.5708,0,0.60583,base_link,0,1,0,300,3,0,3.142,,,,,,,,
link2,0.0700036426482495,0.010308455200094,-3.22313703240984E-07,0,0,0,0.137984759390326,3.08351216323563E-05,-3.37200404018867E-09,-7.276347926542E-12,0.000431683461719295,3.54543504038803E-10,0.000412927569648161,0,0,0,0,0,0,package://Adel_Arm/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/link2.STL,,Arm 1-1,Origin_joint2,Axis_joint2,joint2,revolute,0,0.04355,0,3.1416,-0.20525,1.5708,link1,0,1,0,300,3,0,3.142,,,,,,,,
llink3,-0.0316988434182598,0.0105787036842044,-0.000100265375810232,0,0,0,0.0803355000017766,2.12574661181931E-05,8.16810709257307E-07,-2.54143813425501E-07,0.000117226394589393,1.02194566545309E-08,0.000104519672623578,0,0,0,0,0,0,package://Adel_Arm/meshes/llink3.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/llink3.STL,,Arm 2-1,Origin_joint3,,joint3,revolute,0.14,-0.0025,0,3.1416,0.84901,0,link2,0,1,0,300,3,0,3.142,,,,,,,,
link4,3.83154176837874E-05,-0.00410290324686761,0.0184504303408905,0,0,0,0.0204480990408153,5.09533113465716E-06,-2.97147750938761E-09,1.13778571826161E-08,6.07398413235396E-06,3.91779066577792E-07,2.96118819819566E-06,0,0,0,0,0,0,package://Adel_Arm/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/link4.STL,,Arm 3-1,Origin_joint4,,joint4,revolute,-0.1057,0.012024,0,1.5708,-1.5366,-1.5708,llink3,0,0,1,300,3,0,3.142,,,,,,,,
link5,0.0244850967603842,0.00479249324455749,-0.00160454356355314,0,0,0,0.0155760948868595,2.58422861031613E-06,-8.30850004392214E-07,5.46126859175179E-07,6.24791796599796E-06,1.0012678624631E-08,4.8787284090181E-06,0,0,0,0,0,0,package://Adel_Arm/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://Adel_Arm/meshes/link5.STL,,Gripper Assem 1-1/Base-1,Origin_joint5,,joint5,revolute,0,-0.01685,0.0284,-1.5708,-1.0269,-3.1416,link4,0,0,1,300,3,0,3.142,,,,,,,,
lg_l,-0.00452759137056248,0.00100000000000283,-0.000601969307288133,0,0,0,0.00396241992694461,1.41673200682029E-07,-2.93649117456325E-23,-1.38861127331737E-08,6.7085950123995E-07,6.86559908419013E-23,5.52960820119589E-07,0,0,0,0,0,0,package://Adel_Arm/meshes/lg_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Adel_Arm/meshes/lg_l.STL,,Gripper Assem 1-1/Gear Arm 1-1,Origin_lg_j,,lg_j,revolute,0.034,0.014135,0.020315,0,-1.1853,0,link5,0,1,0,300,3,0,3.142,,,,,,,,
left_link,0.0042500225887222,0.00951314755004982,-0.0318899864427387,0,0,0,0.00539747369583149,1.71391446569207E-06,1.24927129733653E-11,6.5136389395895E-12,1.59582802404429E-06,3.73412637916886E-07,1.83080983061252E-07,0,0,0,0,0,0,package://Adel_Arm/meshes/left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Adel_Arm/meshes/left_link.STL,,Gripper Assem 1-1/Grip-1,Origin_left_joint,,left_joint,revolute,0.015564,-0.002,0.004919,0.016065,0,-1.5708,lg_l,1,0,0,300,3,0,3.142,,,,,,,,
rg_l,-0.0173705467507506,0.00174371793235742,0.000402310233194512,0,0,0,0.0028244899707033,1.02499986489243E-07,-1.29356129819058E-08,5.89223408171055E-08,5.41413331326968E-07,2.10405683138336E-09,4.49934909634666E-07,0,0,0,0,0,0,package://Adel_Arm/meshes/rg_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Adel_Arm/meshes/rg_l.STL,,Gripper Assem 1-1/Gear Arm 2-1,Origin_rg_j,,rg_j,revolute,0.025192,0.014485,-0.0071714,3.1416,-1.0524,3.1416,link5,0,1,0,300,3,0,3.142,,,,,,,,
right_link,0.00425002259158649,0.00951314719595914,-0.0318899808571203,0,0,0,0.00539747163761644,1.71391326599456E-06,1.24466473072753E-11,6.51477168104624E-12,1.59582831935246E-06,3.73411884648562E-07,1.83079472927151E-07,0,0,0,0,0,0,package://Adel_Arm/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Adel_Arm/meshes/right_link.STL,,Gripper Assem 1-1/Grip-2,Origin_right_joint,,right_joint,revolute,-0.035069,-0.01085,0.0084279,0.11121,0,1.5708,rg_l,1,0,0,300,3,0,3.142,,,,,,,,
